genre,decade,gender,word,count
acad,1890,male,bloke,0
acad,1890,male,masculinity,2
acad,1890,male,gentlemen,127
acad,1890,male,his,21643
acad,1890,male,princes,89
acad,1890,male,sirs,1
acad,1890,male,king,1675
acad,1890,female,gals,18
acad,1890,female,madam,2
acad,1890,female,ms,42
acad,1890,female,hers,32
acad,1890,female,maiden,124
acad,1890,female,herself,438
acad,1890,female,females,51
acad,1890,female,she,5937
acad,1890,female,dames,1
acad,1890,female,princesses,27
acad,1890,female,woman,1865
acad,1890,female,gentlewomen,1
acad,1890,female,girls,282
acad,1890,female,missus,2
acad,1890,female,femininity,10
acad,1890,female,dame,59
acad,1890,female,gal,149
acad,1890,female,queen,335
acad,1890,female,queens,13
acad,1890,female,miss,214
acad,1890,female,lady,543
acad,1890,female,female,215
acad,1890,female,bride,163
acad,1890,female,brides,11
acad,1890,female,lass,14
acad,1890,female,girl,501
acad,1890,female,mrs,424
acad,1890,female,gentlewoman,1
acad,1890,female,lassie,5
acad,1890,female,feminine,59
acad,1890,female,women,1743
acad,1890,female,ladies,145
acad,1890,female,maidens,51
acad,1890,female,her,9073
acad,1890,female,princess,110
acad,1900,male,blokes,0
acad,1900,male,himself,1983
acad,1900,male,masculine,10
acad,1900,male,man,4008
acad,1900,male,guys,0
acad,1900,male,men,3721
acad,1900,male,prince,281
acad,1900,male,mr,578
acad,1900,male,males,31
acad,1900,male,male,160
acad,1900,male,fella,0
acad,1900,male,lads,12
acad,1900,male,gent,1
acad,1900,male,boys,298
acad,1900,male,lad,31
acad,1900,male,gents,2
acad,1900,male,kings,168
acad,1900,male,he,19972
acad,1900,male,boy,401
acad,1900,male,gentleman,90
acad,1900,male,him,6500
acad,1900,male,fellas,0
acad,1900,male,mister,11
acad,1900,male,guy,12
acad,1900,male,sir,215
acad,1900,male,manly,39
acad,1900,male,bloke,0
acad,1900,male,masculinity,0
acad,1900,male,gentlemen,63
acad,1900,male,his,20453
acad,1900,male,princes,92
acad,1900,male,sirs,1
acad,1900,male,king,1285
acad,1900,female,gals,0
acad,1900,female,madam,7
acad,1900,female,ms,65
acad,1900,female,hers,28
acad,1900,female,maiden,33
acad,1900,female,herself,154
acad,1900,female,females,33
acad,1900,female,she,1700
acad,1900,female,dames,3
acad,1900,female,princesses,1
acad,1900,female,woman,426
acad,1900,female,gentlewomen,1
acad,1900,female,girls,183
acad,1900,female,missus,0
acad,1900,female,femininity,1
acad,1900,female,dame,32
acad,1900,female,gal,5
acad,1900,female,queen,146
acad,1900,female,queens,8
acad,1900,female,miss,66
acad,1900,female,lady,178
acad,1900,female,female,123
acad,1900,female,bride,28
acad,1900,female,brides,2
acad,1900,female,lass,9
acad,1900,female,girl,200
acad,1900,female,mrs,94
acad,1900,female,gentlewoman,1
acad,1900,female,lassie,2
acad,1900,female,feminine,18
acad,1900,female,women,645
acad,1900,female,ladies,76
acad,1900,female,maidens,16
acad,1900,female,her,2731
acad,1900,female,princess,33
acad,1910,male,blokes,0
acad,1910,male,himself,1857
acad,1910,male,masculine,154
acad,1910,male,man,5156
acad,1910,male,guys,7
acad,1910,male,men,3961
acad,1910,male,prince,245
acad,1910,male,mr,1573
acad,1910,male,males,93
acad,1910,male,male,335
acad,1910,male,fella,0
acad,1910,male,lads,28
acad,1910,male,gent,2
acad,1910,male,boys,668
acad,1910,male,lad,278
acad,1910,male,gents,0
acad,1910,male,kings,141
