"decade","word","gender","count"
1870,"sir","male",6668
1870,"sirs","male",34
1870,"woman","female",9114
1870,"women","female",4603
1880,"bloke","male",3
1880,"blokes","male",0
1880,"boy","male",6922
1880,"boys","male",3793
1880,"bride","female",632
1880,"brides","female",42
1880,"dame","female",261
1880,"dames","female",37
1880,"fella","male",3
1880,"fellas","male",0
1880,"female","female",729
1880,"females","female",97
1880,"feminine","female",293
1880,"femininity","female",14
1880,"gal","female",395
1880,"gals","female",97
1880,"gent","male",23
1880,"gentleman","male",2789
1880,"gentlemen","male",1753
1880,"gentlewoman","female",28
1880,"gentlewomen","female",8
1880,"gents","male",22
1880,"girl","female",7085
1880,"girls","female",2695
1880,"guy","male",584
1880,"guys","male",2
1880,"he","male",202037
1880,"her","female",111054
1880,"hers","female",913
1880,"herself","female",5860
1880,"him","male",70020
1880,"himself","male",14566
1880,"his","male",159811
1880,"king","male",3708
1880,"kings","male",381
1880,"lad","male",774
1880,"ladies","female",2153
1880,"lads","male",201
1880,"lady","female",5492
1880,"lass","female",207
1880,"lassie","female",34
1880,"madam","female",554
1880,"maiden","female",705
1880,"maidens","female",222
1880,"male","male",367
1880,"males","male",56
1880,"man","male",32661
1880,"manly","male",515
1880,"masculine","male",145
1880,"masculinity","male",3
1880,"men","male",20348
1880,"miss","female",9642
1880,"missus","female",40
1880,"mister","male",125
1880,"mr","male",29616
1880,"mrs","female",16578
1880,"ms","female",105
1880,"prince","male",1850
1880,"princes","male",220
1880,"princess","female",589
1880,"princesses","female",44
1880,"queen","female",1241
1880,"queens","female",61
1880,"she","female",92436
1880,"sir","male",6526
1880,"sirs","male",58
1880,"woman","female",8237
1880,"women","female",4574
1890,"bloke","male",7
1890,"blokes","male",0
1890,"boy","male",5916
1890,"boys","male",3955
1890,"bride","female",658
1890,"brides","female",20
1890,"dame","female",261
1890,"dames","female",53
1890,"fella","male",5
1890,"fellas","male",0
1890,"female","female",628
1890,"females","female",117
1890,"feminine","female",320
1890,"femininity","female",25
1890,"gal","female",293
1890,"gals","female",92
1890,"gent","male",231
1890,"gentleman","male",2740
1890,"gentlemen","male",1539
1890,"gentlewoman","female",37
1890,"gentlewomen","female",16
1890,"gents","male",91
1890,"girl","female",6821
1890,"girls","female",2813
1890,"guy","male",192
1890,"guys","male",5
1890,"he","male",212460
1890,"her","female",106819
1890,"hers","female",826
1890,"herself","female",5295
1890,"him","male",73813
1890,"himself","male",14658
1890,"his","male",166378
1890,"king","male",5143
1890,"kings","male",522
1890,"lad","male",777
1890,"ladies","female",1724
1890,"lads","male",227
1890,"lady","female",5224
1890,"lass","female",89
1890,"lassie","female",45
1890,"madam","female",568
1890,"maiden","female",606
1890,"maidens","female",229
1890,"male","male",433
1890,"males","male",68
1890,"man","male",32649
1890,"manly","male",401
1890,"masculine","male",179
1890,"masculinity","male",8
1890,"men","male",24583
1890,"miss","female",8961
1890,"missus","female",53
1890,"mister","male",126
1890,"mr","male",26638
1890,"mrs","female",15595
1890,"ms","female",96
1890,"prince","male",2471
1890,"princes","male",231
1890,"princess","female",1257
1890,"princesses","female",63
1890,"queen","female",1455
1890,"queens","female",76
1890,"she","female",88526
1890,"sir","male",7101
1890,"sirs","male",31
1890,"woman","female",10782
1890,"women","female",7088
1900,"bloke","male",2
1900,"blokes","male",3
1900,"boy","male",7621
1900,"boys","male",4236
1900,"bride","female",499
1900,"brides","female",32
1900,"dame","female",314
1900,"dames","female",47
1900,"fella","male",9
1900,"fellas","male",2
1900,"female","female",461
1900,"females","female",101
1900,"feminine","female",344
1900,"femininity","female",15
1900,"gal","female",178
1900,"gals","female",48
1900,"gent","male",69
1900,"gentleman","male",2292
1900,"gentlemen","male",1292
1900,"gentlewoman","female",49
1900,"gentlewomen","female",5
1900,"gents","male",64
1900,"girl","female",10439
1900,"girls","female",2927
1900,"guy","male",101
1900,"guys","male",12
1900,"he","male",234061
